filename,test_name,test_id,issue_severity,issue_confidence,issue_cwe,issue_text,line_number,col_offset,end_col_offset,line_range,more_info
.\.venv\Lib\site-packages\_distutils_hack\__init__.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,76,4,55,[76],https://bandit.readthedocs.io/en/1.8.3/plugins/b101_assert_used.html
.\.venv\Lib\site-packages\_distutils_hack\__init__.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,77,4,57,[77],https://bandit.readthedocs.io/en/1.8.3/plugins/b101_assert_used.html
.\.venv\Lib\site-packages\bandit\plugins\trojansource.py,trojansource,B613,HIGH,MEDIUM,https://cwe.mitre.org/data/definitions/838.html,A Python source file contains bidirectional control characters ('\u202e').,22,36,0,"[0, 1]",https://bandit.readthedocs.io/en/1.8.3/plugins/b613_trojansource.html
.\.venv\Lib\site-packages\markdown_it\ruler.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,266,12,45,[266],https://bandit.readthedocs.io/en/1.8.3/plugins/b101_assert_used.html
.\.venv\Lib\site-packages\markdown_it\rules_core\linkify.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,35,8,33,[35],https://bandit.readthedocs.io/en/1.8.3/plugins/b101_assert_used.html
.\.venv\Lib\site-packages\markdown_it\rules_core\linkify.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,39,12,43,[39],https://bandit.readthedocs.io/en/1.8.3/plugins/b101_assert_used.html
.\.venv\Lib\site-packages\markdown_it\rules_core\smartquotes.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,20,4,21,[20],https://bandit.readthedocs.io/en/1.8.3/plugins/b101_assert_used.html
.\.venv\Lib\site-packages\markdown_it\tree.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,101,16,41,[101],https://bandit.readthedocs.io/en/1.8.3/plugins/b101_assert_used.html
.\.venv\Lib\site-packages\markdown_it\tree.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,165,8,33,[165],https://bandit.readthedocs.io/en/1.8.3/plugins/b101_assert_used.html
.\.venv\Lib\site-packages\pbr\git.py,blacklist,B404,LOW,HIGH,https://cwe.mitre.org/data/definitions/78.html,Consider possible security implications associated with the subprocess module.,25,0,17,[25],https://bandit.readthedocs.io/en/1.8.3/blacklists/blacklist_imports.html#b404-import-subprocess
.\.venv\Lib\site-packages\pbr\git.py,subprocess_without_shell_equals_true,B603,LOW,HIGH,https://cwe.mitre.org/data/definitions/78.html,subprocess call - check for execution of untrusted input.,46,13,41,"[46, 47, 48, 49]",https://bandit.readthedocs.io/en/1.8.3/plugins/b603_subprocess_without_shell_equals_true.html
.\.venv\Lib\site-packages\pbr\packaging.py,try_except_pass,B110,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,"Try, Except, Pass detected.",729,12,20,"[729, 730]",https://bandit.readthedocs.io/en/1.8.3/plugins/b110_try_except_pass.html
.\.venv\Lib\site-packages\pbr\testr_command.py,start_process_with_a_shell,B605,LOW,HIGH,https://cwe.mitre.org/data/definitions/78.html,"Starting a process with a shell: Seems safe, but may be changed in the future, consider rewriting without shell",142,8,37,[142],https://bandit.readthedocs.io/en/1.8.3/plugins/b605_start_process_with_a_shell.html
.\.venv\Lib\site-packages\pbr\testr_command.py,start_process_with_partial_path,B607,LOW,HIGH,https://cwe.mitre.org/data/definitions/78.html,Starting a process with a partial executable path,142,8,37,[142],https://bandit.readthedocs.io/en/1.8.3/plugins/b607_start_process_with_partial_path.html
.\.venv\Lib\site-packages\pbr\testr_command.py,start_process_with_a_shell,B605,HIGH,HIGH,https://cwe.mitre.org/data/definitions/78.html,"Starting a process with a shell, possible injection detected, security issue.",143,8,60,[143],https://bandit.readthedocs.io/en/1.8.3/plugins/b605_start_process_with_a_shell.html
.\.venv\Lib\site-packages\pbr\testr_command.py,start_process_with_a_shell,B605,HIGH,HIGH,https://cwe.mitre.org/data/definitions/78.html,"Starting a process with a shell, possible injection detected, security issue.",144,8,72,[144],https://bandit.readthedocs.io/en/1.8.3/plugins/b605_start_process_with_a_shell.html
.\.venv\Lib\site-packages\pbr\tests\base.py,blacklist,B404,LOW,HIGH,https://cwe.mitre.org/data/definitions/78.html,Consider possible security implications associated with the subprocess module.,44,0,17,[44],https://bandit.readthedocs.io/en/1.8.3/blacklists/blacklist_imports.html#b404-import-subprocess
.\.venv\Lib\site-packages\pbr\tests\base.py,subprocess_without_shell_equals_true,B603,LOW,HIGH,https://cwe.mitre.org/data/definitions/78.html,subprocess call - check for execution of untrusted input.,182,15,58,[182],https://bandit.readthedocs.io/en/1.8.3/plugins/b603_subprocess_without_shell_equals_true.html
.\.venv\Lib\site-packages\pbr\tests\base.py,subprocess_without_shell_equals_true,B603,LOW,HIGH,https://cwe.mitre.org/data/definitions/78.html,subprocess call - check for execution of untrusted input.,206,8,40,"[206, 207, 208]",https://bandit.readthedocs.io/en/1.8.3/plugins/b603_subprocess_without_shell_equals_true.html
.\.venv\Lib\site-packages\pbr\tests\test_core.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,78,8,59,[78],https://bandit.readthedocs.io/en/1.8.3/plugins/b101_assert_used.html
.\.venv\Lib\site-packages\pbr\tests\test_core.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,89,12,49,[89],https://bandit.readthedocs.io/en/1.8.3/plugins/b101_assert_used.html
.\.venv\Lib\site-packages\pbr\tests\test_hooks.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,68,8,51,[68],https://bandit.readthedocs.io/en/1.8.3/plugins/b101_assert_used.html
.\.venv\Lib\site-packages\pbr\tests\test_hooks.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,69,8,31,[69],https://bandit.readthedocs.io/en/1.8.3/plugins/b101_assert_used.html
.\.venv\Lib\site-packages\pbr\tests\test_wsgi.py,blacklist,B404,LOW,HIGH,https://cwe.mitre.org/data/definitions/78.html,Consider possible security implications associated with the subprocess module.,17,0,17,[17],https://bandit.readthedocs.io/en/1.8.3/blacklists/blacklist_imports.html#b404-import-subprocess
.\.venv\Lib\site-packages\pbr\tests\test_wsgi.py,subprocess_without_shell_equals_true,B603,LOW,HIGH,https://cwe.mitre.org/data/definitions/78.html,subprocess call - check for execution of untrusted input.,87,12,37,"[87, 88, 89]",https://bandit.readthedocs.io/en/1.8.3/plugins/b603_subprocess_without_shell_equals_true.html
